Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
South America,brasilia,sobradinho,2024-02-18,144,0,0,21,2,0
South America,brasilia,sudoeste_octogonal,2024-02-14,180,0,0,27,2,0
South America,brasilia,sudoeste_octogonal,2024-02-15,180,0,0,27,2,0
South America,brasilia,sudoeste_octogonal,2024-02-16,180,0,0,27,2,0
South America,brasilia,sudoeste_octogonal,2024-02-17,180,0,0,27,2,0
South America,brasilia,sudoeste_octogonal,2024-02-18,180,0,0,27,2,0
South America,brasilia,taguatinga,2024-02-14,165,0,0,21,5,0
South America,brasilia,taguatinga,2024-02-15,165,0,0,21,5,0
South America,brasilia,taguatinga,2024-02-16,165,0,0,21,5,0
South America,brasilia,taguatinga,2024-02-17,165,0,0,21,5,0
South America,brasilia,taguatinga,2024-02-18,165,0,0,21,5,0
South America,brasilia,vicente_pires,2024-02-14,142,0,0,21,1,0
South America,brasilia,vicente_pires,2024-02-15,142,0,0,21,1,0
South America,brasilia,vicente_pires,2024-02-16,142,0,0,21,1,0
South America,brasilia,vicente_pires,2024-02-17,142,0,0,21,1,0
South America,brasilia,vicente_pires,2024-02-18,142,0,0,21,1,0
